Date,Opponent,Opponent Differential,Team,Team Differential,at_home,at_opp,opp_avg_Score,opp_avg_ScoreAllowed,opp_losses,opp_wins,team_avg_Score,team_avg_ScoreAllowed,team_losses,team_wins,team_won
11/11/2016,Western Illinois,-4.96,Kansas State,4.79,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Xavier (LA),0.0,Jackson State,-2.38,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Kentucky,14.35,Stephen F. Austin,1.28,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Howard Payne,0.0,Lamar,6.03,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Iowa State,8.88,Savannah State,-6.21,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Houston,9.25,Morgan State,-3.2,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Southeast Missouri State,-0.12,Illinois,1.91,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Iowa,2.31,Kennesaw State,-1.72,0,1,0,0,0,0,0,0,0,0,0
11/12/2016,Toledo,3.39,Saint Joseph's,-3.55,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Quinnipiac,-6.65,Vermont,11.97,0,1,0,0,0,0,0,0,0,0,1
11/12/2016,Santa Clara,1.39,UC-Davis,1.56,0,1,67.0,64.0,0,1,64.0,78.0,1,0,1
11/12/2016,West Coast Baptist,0.0,San Jose State,-1.67,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,LeTourneau,0.0,Sam Houston State,3.0,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Coe,0.0,Northern Iowa,-2.57,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Northern Arizona,-6.84,Tennessee State,3.4,0,0,64.0,67.0,1,0,78.0,64.0,0,1,1
11/12/2016,Notre Dame,8.79,Bryant,-3.28,0,1,0,0,0,0,0,0,0,0,0
11/12/2016,Ohio,7.13,Southern,-1.18,0,1,0,0,0,0,0,0,0,0,0
11/12/2016,Alabama State,-8.48,Western Kentucky,-2.91,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Trinity Christian,0.0,Valparaiso,6.75,1,0,0,0,0,0,79.0,65.0,0,1,1
11/12/2016,Bridgewater (VA),0.0,William & Mary,3.97,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Akron,6.91,Youngstown State,-5.38,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Ferrum,0.0,Winthrop,9.53,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Saint Francis (PA),1.56,St. Bonaventure,4.47,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Texas Southern,2.65,Texas-Arlington,8.3,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Northwest Nazarene,0.0,Utah,10.84,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Louisiana College,0.0,Texas-El Paso,0.47,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Marshall,1.66,North Carolina Central,11.73,0,1,0,0,0,0,0,0,0,0,0
11/12/2016,Cleveland State,-4.48,Kent State,4.6,0,0,0,0,0,0,0,0,0,0,1
11/12/2016,Illinois Tech,0.0,Chicago State,-13.19,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Davidson,2.19,Appalachian State,-2.37,0,1,0,0,0,0,0,0,0,0,0
11/12/2016,Denver,1.13,Jacksonville,2.56,0,1,0,0,0,0,0,0,0,0,1
11/12/2016,Northern Colorado,-3.17,Butler,7.9,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Northwest University,0.0,Boise State,4.53,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Central Baptist,0.0,Arkansas-Little Rock,0.09,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,UC-Santa Barbara,-10.21,Nebraska-Omaha,0.38,0,1,0,0,0,0,0,0,0,0,1
11/12/2016,San Diego Christian,0.0,Cal State Bakersfield,8.16,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Averett,0.0,High Point,-0.1,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Northland,0.0,Green Bay,3.1,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Georgetown,1.88,South Carolina Upstate,2.16,0,1,0,0,0,0,0,0,0,0,0
11/12/2016,Corban,0.0,Idaho,1.68,1,0,0,0,0,0,0,0,0,0,1
11/12/2016,Louisiana State,-8.16,Wofford,3.45,0,1,0,0,0,0,0,0,0,0,0
11/12/2016,Florida State,11.18,Charleston Southern,-1.26,0,1,0,0,0,0,0,0,0,0,0
11/12/2016,Duke,10.83,Grand Canyon,5.77,0,1,94.0,49.0,0,1,0,0,0,0,0
11/12/2016,George Mason,2.94,Towson,4.97,0,1,0,0,0,0,0,0,0,0,1
11/13/2016,Penn State,-1.0,Duquesne,-3.75,0,1,81.0,87.0,1,0,65.0,60.0,0,1,0
11/13/2016,Oregon State,-9.38,Texas-San Antonio,-3.42,0,1,78.0,58.0,0,1,66.0,69.0,1,0,0
11/13/2016,Northwestern State,-3.34,Oklahoma,-1.19,1,0,44.0,72.0,1,0,0,0,0,0,1
11/13/2016,Rutgers,-1.58,Drexel,-3.47,0,1,86.0,57.0,0,1,65.0,78.0,1,0,0
11/13/2016,Seton Hall,3.13,Central Connecticut State,-9.83,0,1,91.0,70.0,0,1,75.0,60.0,0,1,0
11/13/2016,Santa Clara,1.39,Tennessee State,3.4,0,1,62.5,63.5,1,1,73.5,64.5,0,2,1
11/13/2016,Nebraska,-3.1,Sacramento State,-3.19,0,1,0,0,0,0,53.0,90.0,1,0,0
11/13/2016,Shenandoah,0.0,Norfolk State,-1.42,1,0,0,0,0,0,74.0,78.0,1,0,1
11/13/2016,Lipscomb,7.33,Morehead State,1.97,1,0,96.0,53.0,0,1,106.0,41.0,0,1,1
11/13/2016,Washington College,0.0,Navy,0.72,1,0,0,0,0,0,68.0,78.0,1,0,1
11/13/2016,North Carolina,14.29,Chattanooga,5.87,0,1,95.0,75.0,0,1,82.0,69.0,0,1,0
11/13/2016,Minnesota-Morris,0.0,North Dakota State,3.33,1,0,0,0,0,0,76.0,66.0,0,1,1
11/13/2016,North Carolina State,-2.0,St. Francis (NY),-11.71,0,1,81.0,79.0,0,1,0,0,0,0,0
11/13/2016,Siena,0.24,Cornell,-5.66,0,1,0,0,0,0,62.0,68.0,1,0,0
11/13/2016,Wake Forest,4.75,Bucknell,8.74,0,1,80.0,59.0,0,1,76.0,64.0,0,1,0
11/13/2016,Cal State Northridge,-3.3,UCLA,15.03,1,0,96.0,72.0,0,1,119.0,80.0,0,1,1
11/13/2016,Tennessee-Martin,2.0,Texas-Rio Grande Valley,-5.0,0,1,83.0,86.0,1,0,0,0,0,0,0
11/13/2016,Yale,4.24,Washington,-4.68,1,0,0,0,0,0,0,0,0,0,0
11/13/2016,Wichita State,19.62,Long Beach State,-3.44,0,1,85.0,39.0,0,1,95.0,59.0,0,1,0
11/13/2016,Oak Hills Christian,0.0,Western Illinois,-4.96,1,0,0,0,0,0,55.0,82.0,1,0,1
11/13/2016,Hiwassee,0.0,Western Carolina,-11.88,1,0,0,0,0,0,43.0,92.0,1,0,1
11/13/2016,South Dakota,4.18,Bowling Green State,-3.06,0,1,79.0,74.0,0,1,70.0,78.0,1,0,0
11/13/2016,Holy Cross,-1.75,South Carolina,7.59,1,0,0,0,0,0,85.0,76.0,0,1,1
11/13/2016,Hannibal-LaGrange,0.0,Southeast Missouri State,-0.12,1,0,0,0,0,0,62.0,81.0,1,0,1
11/13/2016,Eastern Michigan,4.76,Southern Methodist,14.71,1,0,90.0,93.0,1,0,72.0,44.0,0,1,1
11/13/2016,Southern California,5.52,Nebraska-Omaha,0.38,0,1,75.0,61.0,0,1,74.0,60.0,0,1,0
11/13/2016,Texas Southern,2.65,Delaware State,-6.66,1,0,82.0,89.0,1,0,103.0,56.0,0,1,0
11/13/2016,Colorado State,5.15,New Mexico State,11.7,0,1,0,0,0,0,100.0,52.0,0,1,0
11/13/2016,Johnson University,0.0,Citadel,-4.76,1,0,0,0,0,0,68.0,81.0,1,0,1
11/13/2016,Robert Morris,-3.42,DePaul,-5.69,1,0,50.0,67.0,1,0,0,0,0,0,1
11/13/2016,Southern Illinois-Edwardsville,-7.93,Florida Atlantic,-3.77,0,0,69.0,68.0,0,1,57.0,61.0,1,0,0
11/13/2016,Florida,11.72,Mercer,2.59,0,0,80.0,59.0,0,1,87.0,53.0,0,1,0
11/13/2016,Bradley,-5.15,Delaware,-6.79,0,1,70.0,55.0,0,1,64.0,56.0,0,1,1
11/13/2016,Niagara,-3.97,Brown,-2.1,1,0,66.0,76.0,1,0,55.0,84.0,1,0,1
11/13/2016,Cal Poly,-5.16,Arizona State,-3.09,1,0,68.0,77.0,1,0,88.0,70.0,0,1,1
11/13/2016,UC-Davis,1.56,Northern Arizona,-6.84,0,0,63.5,68.0,1,1,64.5,68.0,2,0,0
11/13/2016,Bristol University,0.0,UC-Riverside,-4.17,1,0,0,0,0,0,55.0,71.0,1,0,1
11/13/2016,Portland State,3.55,Cal State Fullerton,2.42,1,0,70.0,88.0,1,0,77.0,28.0,0,1,1
11/13/2016,Texas State,4.15,Hawaii,-0.2,1,0,61.0,57.0,0,1,68.0,69.0,1,0,1
11/13/2016,Maryland-Baltimore County,4.27,Maryland-Eastern Shore,-4.68,1,0,92.0,61.0,0,1,71.0,75.0,1,0,0
11/13/2016,Michigan,9.26,IUPUI,-0.53,0,1,76.0,58.0,0,1,87.0,97.0,1,0,0
11/13/2016,Longwood,-13.0,Maine,-10.34,0,1,0,0,0,0,67.0,80.0,1,0,1
11/13/2016,Indiana-Northwest,0.0,Loyola (IL),6.59,1,0,0,0,0,0,69.0,44.0,0,1,1
11/13/2016,Jacksonville State,2.09,Missouri State,3.82,1,0,84.0,73.0,0,1,96.0,62.0,0,1,1
11/13/2016,Missouri,-3.75,Alabama A&M,-15.97,0,1,0,0,0,0,62.0,96.0,1,0,0
11/13/2016,Savannah State,-6.21,Iowa,2.31,1,0,71.0,113.0,1,0,91.0,74.0,0,1,1
11/13/2016,Illinois,1.91,Northern Kentucky,4.74,0,1,81.0,62.0,0,1,96.0,56.0,0,1,0
11/13/2016,Kenyon,0.0,IPFW,8.87,1,0,0,0,0,0,83.0,92.0,1,0,1
11/13/2016,Canisius,0.82,Kentucky,14.35,1,0,0,0,0,0,87.0,64.0,0,1,1
11/13/2016,Rice,6.06,James Madison,-3.18,1,0,0,0,0,0,55.0,62.0,1,0,0
11/14/2016,Vermont,11.97,Providence,3.63,1,0,94.0,70.0,0,1,0,0,0,0,1
11/14/2016,Gardner-Webb,6.88,Pittsburgh,-1.82,1,0,44.0,72.0,1,0,93.0,90.0,0,1,1
11/14/2016,Villanova,14.88,Purdue,12.97,1,0,88.0,48.0,0,1,109.0,65.0,0,1,0
11/14/2016,Pacific,-5.0,Green Bay,3.1,0,1,80.0,119.0,1,0,84.0,49.0,0,1,0
11/14/2016,Rogers State,0.0,Oral Roberts,-4.87,1,0,0,0,0,0,61.0,76.0,1,0,1
11/14/2016,Columbia,-0.89,Saint Joseph's,-3.55,1,0,73.0,66.0,0,1,77.0,76.0,0,1,1
11/14/2016,Saint Louis,-7.94,Southern Utah,-7.73,0,1,64.0,85.0,1,0,65.0,79.0,1,0,0
11/14/2016,Marist,-9.59,Rhode Island,8.48,1,0,49.0,94.0,1,0,84.0,61.0,0,1,1
